source_name,source_sha256,public_path,public_sha256,bytes,duration_seconds,caption,rights_basis,transform
mmexport1786529980151.jpg,e2eec99b2554ab9a097876c0a695bb0512d47e1bfa468a4aa056dfe549fc2427,assets/media/hero/rootscope-hero.jpg,2dbac9cd385bd0d015d8b4bf0b762756f9372709788521e865fa97bc406d2a65,500557,,RootScope fixed irrigation chamber; wheeled chassis used only as a carrier.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
mmexport1786529978786.jpg,58fc0904431bd4505dd1efe5f016e251200384af38416d005509e0d630c2576e,assets/media/hardware/rootscope-rig-top-view.jpg,33304c895ddc1d60160b1abc7eca6d500840d729532cd29f753033dbc875feae,616398,,"Top view of the reservoir, wiring, controller and gantry.",RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
mmexport1786529977040.jpg,aa3ba94af0eff8076ec1fcfe895595aa5267a6838acc3b6a3c1d408c782987e6,assets/media/demo/rootsight-live-inference.jpg,eb782cf5dadd37ba2ed9cbab2802fde5ed25ad9f2777ced26176884eb74c23ba,505821,,RootSight live answer-card inference on the physical rig.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
mmexport1786529975498.jpg,0495ad33b2bb6f8532faa294fbb25e3bb9683fbc19acb681950c9c8285d423af,assets/media/hardware/rdk-x5-edge-computer.jpg,86b88cd28bb1a3f5f8598e24ddba161d61266084499fda2da211b75531976769,314177,,RDK X5 edge computer used for perception and explanation.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
mmexport1786529973431.jpg,4b4f23b637f4bbfef9fbce304d3794853b3e76238f10c9099e9ab09c373d6f22,assets/media/hardware/stm32-control-stack.jpg,820f80c5428c4e894b824c07de5641dd24f154f180b44de0f693365526d80e95,280021,,STM32F103 control and power stack.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
mmexport1786529971968.jpg,0633f750cbcd936591cfa61f3ba9c7beff324cac05c01dc28cfd672290722dd6,assets/media/demo/dual-evidence-grass-clump.jpg,8270bf1a8144702f60ac18242a03097a38375589aca48c999150192e263fdad3,311302,,Controlled-card dual-evidence decision: CNN plus geometric matching.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
mmexport1786529981697.jpg,40fb118f22cd56c92b25473efcfc6c2d7ebba570ed55b989534e3ba79dfd5dee,assets/media/hardware/rack-pinion-probe-gantry.jpg,ec95844d20fe8641c5849148e556c70ef610169d4c34968521dffe565be76ee6,409045,,Rack-and-pinion probe and water-line gantry.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
1786530040465.jpg,fb24a9ab95133fc41498d744d4fd7fd2bde323a03c1bde0f81cd6cf7200909be,assets/media/event/hackathon-workbench-night.jpg,d1531bad794853a4d339afe788098245432cd3eda2626db2d42f182fd9a82492,377837,,Night-time development at AdventureX.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
1786530040478.jpg,dca0ebee3062f29401ed683d0d86a165b1f3d1718ce93523d1433e1e8b868ded,assets/media/event/adventurex-venue-entrance.jpg,e8d5df87d92f213b7e2e86c73cc74d93446126231bdd8c2388cb2bdfd42a4ebf,973565,,AdventureX venue entrance.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
1786530040496.jpg,952dd9dbc4d361d458aac17fb2033b96817be67a448a21423ad1201d0c9898cb,assets/media/event/adventurex-campus-banners.jpg,41c3c401e2f520e1b51c2e79615fe1e427c8724820fe63d32433af9fe4019056,1108860,,AdventureX 2026 event banners.,RootScope team archive; public release directed by the project owner on 2026-08-12; likeness and trademark rights do not imply endorsement,EXIF removed; privacy crop; documented screen/label blur where applicable; max 2400x1800 JPEG
